repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,min-go-version,liveness,unique-contributors,new-commits-last-30d
ergo-services/ergo,4327,27,11,7,1,6.240,0,61,3031,14,Go,false,0,Actor Model,,1.20,35.000,0,0
Tochemey/goakt,312,9,6,1,0,28.846,3,1,1159,12,Go,false,38,Actor Model,,1.25.3,67.000,3,34
anthdm/hollywood,2164,28,14,6,1,12.939,0,288,1077,16,Go,false,11,Actor Model,,1.22.12,35.000,0,0
asynkron/protoactor-go,5402,17,9,2,0,3.147,2,5,3553,89,Go,false,33,Actor Model,,1.25.2,53.000,1,5
philippgille/chromem-go,817,20,10,3,0,24.480,2,90,746,8,Go,false,0,Artificial Intelligence,,1.21,21.000,0,0
tmc/langchaingo,8386,217,83,46,6,25.876,0,80,1055,184,Go,false,65,Artificial Intelligence,,1.24.4,62.000,0,0
mudler/LocalAI,41179,1269,482,263,67,30.817,0,0,1027,164,Go,false,65,Artificial Intelligence,,1.24.4,100.000,13,185
jmorganca/ollama,159054,2016,951,507,77,12.675,0,0,927,571,Go,false,31,Artificial Intelligence,,1.24.1,100.000,20,61
presbrey/ollamafarm,94,2,2,1,0,21.277,5,341,501,1,Go,false,1,Artificial Intelligence,,1.22.6,12.000,0,0
gopxl/beep,497,14,7,2,0,28.169,3,176,825,34,Go,false,9,Audio and Music,,1.21,21.000,0,0
mewkiz/flac,350,2,2,0,0,5.714,9,143,4816,12,Go,false,2,Audio and Music,,1.23.2,7.000,0,0
Comcast/gaad,135,0,0,0,0,0.000,68,1079,3468,19,Go,false,0,Audio and Music,,1.18,0.000,0,0
leberKleber/go-mpris,20,0,0,0,0,0.000,31,438,1797,3,Go,false,2,Audio and Music,,1.21,0.000,0,0
DylanMeeus/GoAudio,399,4,1,0,0,10.025,10,1433,2014,3,Go,false,0,Audio and Music,,1.16,7.000,0,0
dh1tw/gosamplerate,38,1,0,0,0,26.316,19,712,3336,5,Go,false,0,Audio and Music,,1.14,2.000,0,0
bogem/id3v2,360,2,2,2,0,5.556,3,975,3525,12,Go,false,1,Audio and Music,,1.13,12.000,0,0
gen2brain/malgo,374,11,4,1,0,29.412,1,49,2982,16,C,false,0,Audio and Music,,1.17,22.000,0,0
tosone/minimp3,133,1,0,0,0,7.519,28,891,2904,1,C,false,0,Audio and Music,,1.18,2.000,0,0
hajimehoshi/oto,1841,16,7,3,1,8.691,0,79,3171,24,Go,false,2,Audio and Music,,1.24.0,31.000,0,0
paololazzari/play,523,15,2,0,0,28.681,12,286,837,2,Go,false,6,Audio and Music,,1.18,11.000,0,0
gordonklaus/portaudio,821,9,5,3,0,10.962,3,336,3767,6,Go,false,0,Audio and Music,,1.18,12.000,0,0
volatiletech/authboss,4138,21,8,2,0,5.075,6,45,4023,27,Go,false,4,Authentication and Authorization,,1.24.0,31.000,0,0
essentialkaos/branca,95,2,2,0,0,21.053,9,44,2567,2,Go,false,2,Authentication and Authorization,,1.24.0,13.000,0,0
hsluoyz/casbin,19673,196,97,60,5,9.963,0,0,3197,181,Go,false,3,Authentication and Authorization,,1.13,100.000,3,20
mengzhuo/cookiestxt,21,0,0,0,0,0.000,89,667,3013,2,Go,false,0,Authentication and Authorization,,1.20,0.000,0,0
jferrl/go-githubauth,26,1,0,0,0,38.462,24,23,586,5,Go,false,2,Authentication and Authorization,,1.25,14.000,2,2
shaj13/go-guardian,603,5,3,1,0,8.292,2,532,2065,6,Go,false,7,Authentication and Authorization,,1.13,12.000,0,0
melvinodsa/go-iam,31,5,3,0,0,161.290,8,58,398,5,Go,false,11,Authentication and Authorization,,1.23,13.000,0,0
go-jose/go-jose,473,9,3,2,0,19.027,1,45,1980,19,Go,false,0,Authentication and Authorization,,1.24.0,18.000,0,0
pardnchiu/go-jwt,15,1,1,1,0,66.667,5,79,229,1,Go,false,0,Authentication and Authorization,,1.24.3,10.000,0,0
leodip/goiabada,181,9,2,1,0,49.724,5,3,884,3,Go,false,0,Authentication and Authorization,,,44.000,1,5
dghubble/gologin,1943,7,3,0,0,3.603,11,12,3852,9,Go,false,7,Authentication and Authorization,,1.23.0,27.000,1,1
mikespook/gorbac,1654,10,6,6,0,6.046,1,133,4396,9,Go,false,0,Authentication and Authorization,,1.24,17.000,0,0
Kwynto/gosession,259,0,0,0,0,0.000,30,526,1315,1,Go,false,0,Authentication and Authorization,,1.17,0.000,0,0
